id,retweet_count,favorite_count
762035686371364864,15654,32060
761976711479193600,2025,5426
761750502866649088,3950,0
761745352076779520,870,4297
761672994376806400,29309,49783
761599872357261312,1195,4146
761371037149827077,18185,0
761334018830917632,1463,5219
761292947749015552,1092,4506
761227390836215808,1577,5343
761004547850530816,3498,11389
760893934457552897,985,3830
760656994973933572,1925,6612
760641137271070720,1309,4998
760539183865880579,3650,7596
760521673607086080,1393,4237
760290219849637889,11568,26950
760252756032651264,872,3959
760190180481531904,1818,5721
760153949710192640,31,0
759943073749200896,2090,5976
759923798737051648,5687,14740
759846353224826880,1986,6764
759793422261743616,1927,5983
759557299618865152,1194,4720
759447681597108224,2470,8529
759446261539934208,492,1681
759197388317847553,1956,6096
759159934323924993,1162,0
759099523532779520,4195,14588
759047813560868866,2033,6518
758854675097526272,903,3561
758828659922702336,3858,11260
758740312047005698,1619,5761
758474966123810816,1008,3823
758467244762497024,2229,4813
758405701903519748,1921,5225
758355060040593408,1082,3410
758099635764359168,10049,19150
758041019896193024,377,2711
757741869644341248,3268,6896
757729163776290825,7979,0
757725642876129280,1219,4559
757611664640446465,1114,4579
757597904299253760,301,0
757596066325864448,1066,4354
757400162377592832,6889,15200
757393109802180609,1747,5837
757354760399941633,1431,4533
756998049151549440,1997,6303
756939218950160384,2018,6669
756651752796094464,1309,5071
756526248105566208,3607,10442
756303284449767430,1099,3948
756288534030475264,17796,44121
756275833623502848,1537,6437
755955933503782912,2896,7342
755206590534418437,5391,16486
755110668769038337,11143,21263
754874841593970688,7947,0
754856583969079297,2535,6913
754747087846248448,524,2594
754482103782404096,1964,5307
754449512966619136,735,3765
754120377874386944,2361,7909
753655901052166144,2176,5854
753420520834629632,3582,7930
753398408988139520,1912,5770
753375668877008896,2334,7665
753298634498793472,5718,0
753294487569522689,1047,3375
753039830821511168,20954,37198
753026973505581056,972,3928
752932432744185856,6881,12661
752917284578922496,1585,6945
752701944171524096,2883,0
752682090207055872,1599,6014
752660715232722944,1561,4381
752568224206688256,2291,5516
752519690950500352,3447,7377
752334515931054080,1098,3822
752309394570878976,16279,0
752173152931807232,1843,5978
751950017322246144,921,3059
751937170840121344,1338,5200
751830394383790080,1952,5818
751793661361422336,2907,5835
751598357617971201,3048,7935
751583847268179968,1104,4403
751538714308972544,1266,5044
751456908746354688,1005,3221
751251247299190784,5896,12534
751205363882532864,1823,6336
751132876104687617,1297,5080
750868782890057730,1367,4795
750719632563142656,5051,13193
750506206503038976,1146,4445
750429297815552001,4292,13180
750383411068534784,1155,4570
750381685133418496,27,695
750147208377409536,962,3105
750132105863102464,1295,3612
750117059602808832,1319,4339
750101899009982464,847,3044
750086836815486976,535,2171
750071704093859840,3343,7845
750056684286914561,896,3165
750041628174217216,621,3181
750026558547456000,792,2724
750011400160841729,908,3248
749996283729883136,819,3069
749981277374128128,2472,5118
749774190421639168,1315,4663
749417653287129088,1641,6119
749403093750648834,534,2623
749395845976588288,3437,8565
749317047558017024,2238,5508
749075273010798592,2074,5758
749064354620928000,1525,4809
749036806121881602,795,3094
748977405889503236,3401,10767
748932637671223296,2255,5814
748705597323898880,947,2783
748699167502000129,1589,4749
748692773788876800,1333,4244
748575535303884801,1971,6069
748568946752774144,668,2197
748346686624440324,1227,5209
748337862848962560,4105,7643
748324050481647620,758,3676
748307329658011649,711,3670
748220828303695873,7796,14133
747963614829678593,2143,5768
747933425676525569,2543,6585
747885874273214464,976,2941
747844099428986880,750,2821
747816857231626240,1161,4845
747651430853525504,155,1386
747648653817413632,5848,12874
747600769478692864,556,2326
747594051852075008,1057,3675
747512671126323200,1610,5536
747461612269887489,1041,3859
747439450712596480,1913,5411
747242308580548608,2897,0
747219827526344708,1569,5258
747204161125646336,921,3369
747103485104099331,3959,9557
746906459439529985,297,2892
746872823977771008,2131,5976
746818907684614144,1742,5310
746790600704425984,1601,4860
746757706116112384,3905,9568
746726898085036033,1795,6045
746542875601690625,1875,5028
746521445350707200,983,0
746507379341139972,1082,4643
746369468511756288,1624,6171
746131877086527488,2201,6896
746056683365994496,809,3538
745789745784041472,1063,4016
745712589599014916,2325,6989
745433870967832576,2532,7068
745422732645535745,2431,8551
745314880350101504,2743,7157
745074613265149952,3490,7815
745057283344719872,2258,7240
744995568523612160,617,2959
744971049620602880,2676,7856
744709971296780288,1560,5594
744334592493166593,2109,6762
744234799360020481,77699,155922
744223424764059648,366,1654
743980027717509120,1090,4157
743895849529389061,959,3633
743835915802583040,2067,0
743609206067040256,1381,4459
743595368194129920,6517,18322
743545585370791937,940,3521
743510151680958465,3718,7901
743253157753532416,1221,4221
743222593470234624,1901,6189
743210557239623680,1358,3823
742534281772302336,3563,7041
742528092657332225,1973,4399
742465774154047488,3892,7234
742423170473463808,3760,9779
742385895052087300,1965,6781
742161199639494656,1367,4325
742150209887731712,1542,5104
741793263812808706,1506,4518
741743634094141440,2745,8141
741438259667034112,829,3665
741303864243200000,3193,8751
741099773336379392,5496,9932
741067306818797568,3091,9469
740995100998766593,2729,6333
740711788199743490,933,3388
740699697422163968,781,2833
740676976021798912,6795,18079
740373189193256964,13263,34859
740365076218183684,431,2450
740359016048689152,863,3284
740214038584557568,1956,6658
739979191639244800,5903,19889
739932936087216128,1070,4036
739844404073074688,852,3782
739623569819336705,1345,3752
739606147276148736,1645,5361
739544079319588864,21145,39324
739485634323156992,2915,7113
739238157791694849,57623,115163
738891149612572673,6,111
738885046782832640,1137,3754
738883359779196928,789,3284
738537504001953792,1537,5062
738402415918125056,833,3225
738184450748633089,1203,4291
738166403467907072,3335,8719
738156290900254721,637,2494
737826014890496000,1759,5245
737800304142471168,3442,9922
737678689543020544,1311,5008
737445876994609152,4430,10197
737322739594330112,809,3581
737310737551491075,7371,14577
736736130620620800,1715,4231
736392552031657984,7329,17571
736365877722001409,1238,3945
736225175608430592,2762,8074
736010884653420544,2977,7844
735991953473572864,1144,3574
735648611367784448,1095,4009
735635087207878657,2334,6115
735274964362878976,5005,12932
735256018284875776,876,3306
735137028879360001,964,3112
734912297295085568,524,2734
734787690684657664,6241,12442
734776360183431168,539,2482
734559631394082816,392,1472
733828123016450049,777,3553
733822306246479872,1017,3646
733482008106668032,947,3116
733460102733135873,1271,4171
733109485275860992,16741,49868
732732193018155009,531,2419
732726085725589504,882,3521
732585889486888962,774,3641
732375214819057664,2498,8026
732005617171337216,5370,14785
